"","Date","Team","Acquired","Relinquished","Notes"
"16258",2016-11-16,"Raptors","DeMarre Carroll","","returned to lineup"
"16259",2016-11-16,"Rockets","","Chinanu Onuaku","placed on IL"
"16260",2016-11-16,"Spurs","","Dewayne Dedmon","placed on IL with sprained left knee"
"16261",2016-11-16,"Spurs","Bryn Forbes","","activated from IL"
"16262",2016-11-16,"Suns","","John Jenkins","placed on IL"
"16263",2016-11-16,"Wizards","John Wall ","","activated from IL"
"16264",2016-11-16,"Wizards","","Danuel House","placed on IL"
"16265",2016-11-17,"Heat","Goran Dragic","","returned to lineup"
"16266",2016-11-17,"Hornets","","Treveon Graham","sore/strained left Achilles (DTD)"
"16267",2016-11-17,"Jazz","","Derrick Favors","placed on IL with sore left knee"
"16268",2016-11-17,"Jazz","Rodney Hood","","activated from IL"
"16269",2016-11-17,"Mavericks","","Jose Barea ","torn calf muscle in left leg / strained left calf (out indefinitely)"
"16270",2016-11-17,"Pelicans","","Alex Ajinca","strained left shoulder (DTD)"
"16271",2016-11-17,"Rockets","","Kyle Wiltjer","placed on IL"
"16272",2016-11-17,"Rockets","Patrick Beverley","","activated from IL"
"16273",2016-11-17,"Wizards","Bradley Beal","","returned to lineup"
"16274",2016-11-18,"Cavaliers","","Kay Felder","placed on IL"
"16275",2016-11-18,"Cavaliers","J.R. Smith","","activated from IL"
"16276",2016-11-18,"Cavaliers","LeBron James","","returned to lineup"
"16277",2016-11-18,"Grizzlies","","Troy Daniels","placed on IL"
"16278",2016-11-18,"Grizzlies","Tony Allen","","activated from IL"
"16279",2016-11-18,"Hawks","Dwight Howard","","returned to lineup"
"16280",2016-11-18,"Hornets","","Christian Wood","placed on IL"
"16281",2016-11-18,"Lakers","","D'Angelo Russell","placed on IL with sore left knee"
"16282",2016-11-18,"Lakers","Ron Artest","","activated from IL"
"16283",2016-11-18,"Mavericks","","Deron Williams","strained left calf (DTD)"
"16284",2016-11-18,"Pacers","","C.J. Miles","sore left knee (DTD)"
"16285",2016-11-18,"Pacers","","Paul George","placed on IL with sore left ankle"
"16286",2016-11-18,"Pacers","Rodney Stuckey","","activated from IL"
"16287",2016-11-18,"Pelicans","Anthony Davis","","returned to lineup"
"16288",2016-11-18,"Pistons","Reggie Bullock","","returned to lineup"
"16289",2016-11-18,"Spurs","","Bryn Forbes","placed on IL"
"16290",2016-11-18,"Spurs","Nicolas Laprovittola","","activated from IL"
"16291",2016-11-18,"Suns","","T.J. Warren","illness (DTD)"
"16292",2016-11-18,"Suns","John Jenkins","","activated from IL"
"16293",2016-11-18,"Thunder","","Semaj Christon","concussion (DTD)"
"16294",2016-11-18,"Warriors","","Anderson Varejao","placed on IL"
"16295",2016-11-18,"Warriors","James McAdoo ","","activated from IL"
"16296",2016-11-18,"Hornets","Jeremy Lamb","","activated from IL"
"16297",2016-11-18,"Hornets","","Jeremy Lamb","strained left hamstring (DTD)"
"16298",2016-11-18,"Lakers","","Ivica Zubac","ankle injury (DTD)"
"16299",2016-11-19,"Bucks","","Rashad Vaughn","placed on IL"
"16300",2016-11-19,"Bucks","Steve Novak","","activated from IL"
"16301",2016-11-19,"Bulls","Rajon Rondo","","returned to lineup"
"16302",2016-11-19,"Celtics","","Demetrius Jackson","placed on IL"
"16303",2016-11-19,"Celtics","","Jordan Mickey","placed on IL"
"16304",2016-11-19,"Celtics","Al Horford","","activated from IL"
"16305",2016-11-19,"Celtics","Jae Crowder","","activated from IL"
"16306",2016-11-19,"Grizzlies","","Chandler Parsons","placed on IL with bone bruise in left knee"
"16307",2016-11-19,"Grizzlies","Troy Daniels","","activated from IL"
"16308",2016-11-19,"Hornets","","Cody Zeller","sore shoulder (DTD)"
"16309",2016-11-19,"Pacers","","C.J. Miles","sore left knee (DTD)"
"16310",2016-11-19,"Rockets","","Montrezl Harrell","sore calf (DTD)"
"16311",2016-11-19,"Suns","","T.J. Warren","placed on IL with illness"
"16312",2016-11-19,"Suns","Derrick Jones Jr.","","activated from IL"
"16313",2016-11-19,"Timberwolves","","Brandon Rush","placed on IL with sprained right big toe"
"16314",2016-11-19,"Timberwolves","Shabazz Muhammad","","activated from IL"
"16315",2016-11-19,"Warriors","","James McAdoo ","placed on IL"
"16316",2016-11-19,"Warriors","Anderson Varejao","","activated from IL"
"16317",2016-11-20,"Bulls","","Dwyane Wade","rest (DTD)"
"16318",2016-11-20,"Bulls","","Paul Zipser","strained lower back (DTD)"
"16319",2016-11-20,"Heat","","Willie Reed","hyperextended right knee (DTD)"
"16320",2016-11-20,"Knicks","","Joakim Noah","placed on IL with illness"
"16321",2016-11-20,"Lakers","","Ron Artest","placed on IL"
"16322",2016-11-20,"Lakers","D'Angelo Russell","","activated from IL"
"16323",2016-11-20,"Nuggets","Darrell Arthur","","returned to lineup"
"16324",2016-11-20,"Nuggets","Will Barton","","activated from IL"
"16325",2016-11-20,"Pacers","","C.J. Miles","sore left knee (DTD)"
"16326",2016-11-20,"Pacers","","Kevin Seraphin","sore left knee (DTD)"
"16327",2016-11-20,"Raptors","","Bruno Caboclo","placed on IL"
"16328",2016-11-20,"Raptors","Delon Wright","","activated from IL"
"16329",2016-11-20,"Thunder","","Semaj Christon","placed on IL with concussion"
"16330",2016-11-20,"Thunder","Josh Huestis","","activated from IL"
"16331",2016-11-20,"Knicks","Marshall Plumlee","","activated from IL"
"16332",2016-11-21,"76ers","","Timothe Luwawu-Cabarrot","placed on IL"
"16333",2016-11-21,"76ers","Jerryd Bayless","","activated from IL"
"16334",2016-11-21,"Clippers","","Diamond Stone","placed on IL"
"16335",2016-11-21,"Clippers","Wes Johnson","","activated from IL"
"16336",2016-11-21,"Hornets","","Cody Zeller","placed on IL with sore shoulder"
"16337",2016-11-21,"Hornets","","Treveon Graham","placed on IL with sore/strained left Achilles"
"16338",2016-11-21,"Hornets","Aaron Harrison","","activated from IL"
"16339",2016-11-21,"Lakers","","D'Angelo Russell","sore left knee (DTD)"
"16340",2016-11-21,"Mavericks","","Andrew Bogut","sore right calf (DTD)"
"16341",2016-11-21,"Pacers","","C.J. Miles","placed on IL with sore left knee"
"16342",2016-11-21,"Pacers","","Myles Turner","sprained right ankle (DTD)"
"16343",2016-11-21,"Pacers","Kevin Seraphin","","returned to lineup"
"16344",2016-11-21,"Raptors","","Delon Wright","recovering from arthroscopic surgery on right shoulder to repair torn labrum (DTD)"
"16345",2016-11-21,"Raptors","","DeMarre Carroll","rest (DTD)"
"16346",2016-11-21,"Rockets","Montrezl Harrell","","returned to lineup"
"16347",2016-11-21,"Spurs",""," Tony Parker","sore knee / rest (DTD)"
"16348",2016-11-21,"Spurs","","LaMarcus Aldridge","rest (DTD)"
"16349",2016-11-21,"Spurs","","Nicolas Laprovittola","placed on IL with oral surgery"
"16350",2016-11-21,"Timberwolves","Brandon Rush","","activated from IL"
"16351",2016-11-21,"Warriors","","Anderson Varejao","placed on IL"
"16352",2016-11-21,"Warriors","James McAdoo ","","activated from IL"
"16353",2016-11-21,"Hornets","Christian Wood","","activated from IL"
"16354",2016-11-21,"Hornets","","Christian Wood","sprained right ankle (DTD)"
"16355",2016-11-21,"Pacers","Rakeem Christmas","","activated from IL"
"16356",2016-11-21,"Spurs","Bryn Forbes","","activated from IL"
"16357",2016-11-22,"Bulls","Dwyane Wade","","returned to lineup"
"16358",2016-11-22,"Hawks","Thabo Sefolosha","","returned to lineup"
"16359",2016-11-22,"Lakers","","D'Angelo Russell","placed on IL with sore left knee"
"16360",2016-11-22,"Lakers","Ron Artest","","activated from IL"
"16361",2016-11-22,"Thunder","","Josh Huestis","placed on IL"
"16362",2016-11-22,"Thunder","Semaj Christon","","activated from IL"
"16363",2016-11-22,"Lakers","Ivica Zubac","","returned to lineup"
"16364",2016-11-23,"76ers","","Gerald Henderson Jr.","illness (DTD)"
"16365",2016-11-23,"76ers","","Richaun Holmes","illness (DTD)"
"16366",2016-11-23,"Grizzlies","","James Ennis","right calf injury (DTD)"
"16367",2016-11-23,"Hawks","","Kyle Korver","rest (DTD)"
"16368",2016-11-23,"Hornets","","Aaron Harrison","placed on IL"
"16369",2016-11-23,"Hornets","Christian Wood","","returned to lineup"
"16370",2016-11-23,"Hornets","Jeremy Lamb","","returned to lineup"
"16371",2016-11-23,"Hornets","Treveon Graham","","activated from IL"
"16372",2016-11-23,"Jazz","George Hill","","returned to lineup"
"16373",2016-11-23,"Lakers","","Julius Randle","hip pointer (DTD)"
"16374",2016-11-23,"Magic","","Stephen Zimmerman Jr.","placed on IL"
"16375",2016-11-23,"Mavericks","","Jose Barea ","placed on IL with strained left calf"
"16376",2016-11-23,"Mavericks","Andrew Bogut","","returned to lineup"
"16377",2016-11-23,"Mavericks","Dirk Nowitzki","","activated from IL"
"16378",2016-11-23,"Nuggets","","Danilo Gallinari","sore right thigh (DTD)"
"16379",2016-11-23,"Pacers","","Joe Young","illness (DTD)"
"16380",2016-11-23,"Pacers","","Kevin Seraphin","placed on IL with bruised/sore left knee"
"16381",2016-11-23,"Pacers","Myles Turner","","returned to lineup"
"16382",2016-11-23,"Pacers","Paul George","","activated from IL"
"16383",2016-11-23,"Raptors","","Delon Wright","recovering from arthroscopic surgery on right shoulder to repair torn labrum (DTD)"
"16384",2016-11-23,"Raptors","DeMarre Carroll","","returned to lineup"
"16385",2016-11-23,"Rockets","Chinanu Onuaku","","activated from IL"
"16386",2016-11-23,"Spurs","","Bryn Forbes","placed on IL"
"16387",2016-11-23,"Spurs","Nicolas Laprovittola","","activated from IL"
"16388",2016-11-23,"Suns","","T.J. Warren","head injury (DTD)"
"16389",2016-11-23,"Warriors","","James McAdoo ","placed on IL"
"16390",2016-11-23,"Warriors","Anderson Varejao","","activated from IL"
"16391",2016-11-24,"Nuggets","","Juan Hernangomez","sprained right ankle (DTD)"
"16392",2016-11-24,"Pelicans","","Dante Cunningham","fractured fibula in right leg (out indefinitely)"
"16393",2016-11-25,"76ers","","Joel Embiid","rest (DTD)"
"16394",2016-11-25,"76ers","Gerald Henderson Jr.","","returned to lineup"
"16395",2016-11-25,"76ers","Richaun Holmes","","returned to lineup"
"16396",2016-11-25,"76ers","Timothe Luwawu-Cabarrot","","activated from IL"
"16397",2016-11-25,"Bucks","","Steve Novak","placed on IL"
"16398",2016-11-25,"Bucks","Rashad Vaughn","","activated from IL"
"16399",2016-11-25,"Bulls","","Michael Carter-Williams","wrist injury (DTD)"
"16400",2016-11-25,"Cavaliers","Kay Felder","","activated from IL"
"16401",2016-11-25,"Hawks","Kyle Korver","","returned to lineup"
"16402",2016-11-25,"Heat","","Goran Dragic","strained left elbow (DTD)"
"16403",2016-11-25,"Hornets","","Christian Wood","placed on IL"
"16404",2016-11-25,"Hornets","Cody Zeller","","activated from IL"
"16405",2016-11-25,"Knicks","","Marshall Plumlee","placed on IL"
"16406",2016-11-25,"Knicks","Joakim Noah","","activated from IL"
"16407",2016-11-25,"Lakers","","Nick Young","sprained toe on left foot (DTD)"
"16408",2016-11-25,"Magic","Stephen Zimmerman Jr.","","activated from IL"
"16409",2016-11-25,"Mavericks","Deron Williams","","returned to lineup"
"16410",2016-11-25,"Nets","","Rondae Hollis-Jefferson","sore right ankle (DTD)"
"16411",2016-11-25,"Nuggets","","Juan Hernangomez","sore/sprained right ankle (DTD)"
"16412",2016-11-25,"Nuggets","","Will Barton","placed on IL with sore left ankle"
"16413",2016-11-25,"Pacers","","Kevin Seraphin","sore left knee (DTD)"
"16414",2016-11-25,"Pacers","","Paul George","sore back / left ankle (DTD)"
"16415",2016-11-25,"Pacers","Joe Young","","returned to lineup"
"16416",2016-11-25,"Pacers","Kevin Seraphin","","activated from IL"
"16417",2016-11-25,"Pistons","","Reggie Bullock","placed on IL with torn meniscus in left knee"
"16418",2016-11-25,"Pistons","Michael Gbinije","","activated from IL"
"16419",2016-11-25,"Raptors","","Delon Wright","recovering from arthroscopic surgery on right shoulder to repair torn labrum (DTD)"
"16420",2016-11-25,"Warriors","","Anderson Varejao","placed on IL"
"16421",2016-11-25,"Warriors","James McAdoo ","","activated from IL"
"16422",2016-11-25,"Wizards","","Danuel House","fractured right wrist (out indefinitely)"
"16423",2016-11-25,"Nuggets","Gary Harris","","activated from IL"
"16424",2016-11-25,"Pacers","","Rakeem Christmas","placed on IL"
"16425",2016-11-25,"Rockets","","Chinanu Onuaku","placed on IL"
"16426",2016-11-25,"Suns","","Derrick Jones Jr.","placed on IL"
"16427",2016-11-25,"Nuggets","","Gary Harris","right foot injury (DTD)"
"16428",2016-11-26,"Hornets","","Marvin Williams","placed on IL with bone bruise in left knee / hyperextended left knee (Y)"
"16429",2016-11-26,"Hornets","","Nicolas Batum","corneal abrasion (DTD)"
"16430",2016-11-26,"Hornets","Christian Wood","","activated from IL"
"16431",2016-11-26,"Spurs","","Manu Ginobili","placed on IL for rest"
"16432",2016-11-26,"Spurs","Bryn Forbes","","activated from IL"
