"","X.3","X.2","Rk","G","Date","X","Opp","W.L","Tm","Opp.1","TeamFG","TeamFGA","TeamFG.","Team3P","Team3PA","Team3P.","TeamFT","TeamFTA","TeamFT.","TeamORB","TeamTRB","TeamAST","TeamSTL","TeamBLK","TeamTOV","TeamPF","X.1","OppoFG","OppoFGA","OppoFG.","Oppo3P","Oppo3PA","Oppo3P.","OppoFT","OppoFTA","OppoFT.","OppoORB","OppoTRB","OppoAST","OppoSTL","OppoBLK","OppoTOV","OppoPF","Tm1","TPdiff","TRBdiff","FTdiff","ASTdiff","BLKdiff","TOVdiff"
"71",54,54,54,54,"2017-02-10","@","SACRAMENTO KINGS","L",107,108,36,71,0.507,11,30,0.367,24,31,0.774,3,37,19,6,5,16,17,NA,38,80,0.475,18,36,0.5,14,21,0.667,8,39,27,12,2,18,27,"ATLANTA HAWKS",-7,-2,10,-8,3,-2
"72",34,34,34,34,"2017-01-01","","SAN ANTONIO SPURS","W",114,112,42,92,0.457,14,28,0.5,16,27,0.593,11,46,25,6,6,11,21,NA,42,90,0.467,9,27,0.333,19,22,0.864,9,47,27,5,6,12,21,"ATLANTA HAWKS",5,-1,-3,-2,0,-1
"73",67,67,67,67,"2017-03-13","@","SAN ANTONIO SPURS","L",99,107,37,81,0.457,6,22,0.273,19,30,0.633,6,36,27,13,3,16,20,NA,39,81,0.481,16,34,0.471,13,17,0.765,7,44,31,6,9,21,22,"ATLANTA HAWKS",-10,-8,6,-4,-6,-5
"74",21,21,21,21,"2016-12-03","@","TORONTO RAPTORS","L",84,128,35,88,0.398,7,28,0.25,7,14,0.5,13,38,21,7,5,18,13,NA,53,92,0.576,13,24,0.542,9,11,0.818,12,48,28,14,7,12,17,"ATLANTA HAWKS",-6,-10,-2,-7,-2,6
"75",26,26,26,26,"2016-12-16","@","TORONTO RAPTORS","W",125,121,46,86,0.535,11,25,0.44,22,32,0.688,15,44,26,6,6,14,22,NA,47,86,0.547,10,21,0.476,17,26,0.654,8,28,20,7,5,9,27,"ATLANTA HAWKS",1,16,5,6,1,5
"76",65,65,65,65,"2017-03-10","","TORONTO RAPTORS","W",105,99,39,75,0.52,8,22,0.364,19,29,0.655,8,45,24,8,6,21,20,NA,37,92,0.402,4,25,0.16,21,27,0.778,16,46,19,17,5,11,28,"ATLANTA HAWKS",4,-1,-2,5,1,10
"77",16,16,16,16,"2016-11-25","@","UTAH JAZZ","L",68,95,26,83,0.313,8,25,0.32,8,12,0.667,6,40,11,8,4,14,16,NA,35,80,0.438,10,34,0.294,15,18,0.833,9,55,17,9,9,16,16,"ATLANTA HAWKS",-2,-15,-7,-6,-5,-2
"78",52,52,52,52,"2017-02-06","","UTAH JAZZ","L",95,120,33,74,0.446,6,17,0.353,23,32,0.719,7,30,16,6,3,12,18,NA,49,80,0.613,10,26,0.385,12,18,0.667,9,44,31,9,7,12,23,"ATLANTA HAWKS",-4,-14,11,-15,-4,0
"79",1,1,1,1,"2016-10-27","","WASHINGTON WIZARDS","W",114,99,44,88,0.5,12,26,0.462,14,18,0.778,14,52,28,13,7,21,19,NA,40,94,0.426,6,20,0.3,13,18,0.722,12,40,25,14,4,19,20,"ATLANTA HAWKS",6,12,1,3,3,2
"80",5,5,5,5,"2016-11-04","@","WASHINGTON WIZARDS","L",92,95,32,83,0.386,5,25,0.2,23,36,0.639,10,47,22,12,3,18,24,NA,31,80,0.388,5,20,0.25,28,35,0.8,11,46,13,7,3,19,23,"ATLANTA HAWKS",0,1,-5,9,0,-1
"81",47,47,47,47,"2017-01-27","","WASHINGTON WIZARDS","L",86,112,30,83,0.361,9,31,0.29,17,25,0.68,8,41,18,9,8,19,16,NA,43,89,0.483,13,31,0.419,13,19,0.684,13,52,26,12,10,18,24,"ATLANTA HAWKS",-4,-11,4,-8,-2,1
"82",71,71,71,71,"2017-03-22","@","WASHINGTON WIZARDS","L",100,104,34,86,0.395,8,25,0.32,24,29,0.828,11,44,20,11,5,16,19,NA,38,95,0.4,11,34,0.324,17,23,0.739,17,54,23,9,6,19,26,"ATLANTA HAWKS",-3,-10,7,-3,-1,-3
